Implication Réseau 1/2/3,Implication 2019-2020,Implication 2017-2018,Latitude,Longitude,Département,Structure,Site Web,Adresse,Ville,CP,Full Address,Description,THEMATIQUE_1,THEMATIQUE_2,THEMATIQUE_3,Type de lieu,Organisation structurelle
,,"2018, 2016",46.2046876,5.2240344,Ain,Ain'Pacte,https://www.facebook.com/ainpacte/,10 Rue d'Espagne,Bourg-en-Bresse,01000,10 Rue d'Espagne Bourg-en-Bresse 01000 ,L'association Ain'Pacte oeuvre pour l'harmonie des diverses composantes de la population Burgienne et valorise leurs cultures. A participé à la biennale Traces 2016.,,,,,Association
,,,45.8598825,5.9544505,Haute-Savoie,"CADA Haute-Savoie Centre d’Accueil pour Demandeurs d’Asile",https://annuaire.action-sociale.org/?p=cada-de-rumilly-740008495&details=caracteristiques,10 rue des Prés Riants,Rumilly,74150,10 rue des Prés Riants Rumilly 74150 ,Offre aux demandeur·euse·s d’asile un lieu d’accueil (hébergement et suivi administratif) pour toute la durée de l’étude de leur dossier de demande de statut de réfugié. ,,,,,
,2020,,45.7766796,4.8314674,Rhône,Aquarium Ciné-Café,aquarium-cine-cafe.fr,10 rue Dumont,Lyon,69004,10 rue Dumont Lyon 69004 ,"Ciné-club, vidéo-club, ateliers cinéma, café. Faire du cinéma une expérience collective. Participe à la biennale Traces 2020.",,,,,
,2020,,45.43522970000001,4.381635699999999,Loire,Centre Social Le Babet,https://www.le-babet.fr/,10 rue Félix Pyat,Saint-Etienne,42000,10 rue Félix Pyat Saint-Etienne 42000 ,"En plus de son action de maintien du lien social à l'échelle locale, le Centre Social Le Babet accueille des événements de la biennale Traces. Accueille des événements du réseau Traces.",Equipements culturels / lieux / Champ culturel,,,Centre social,Centre Social
,,,45.9045711,6.1287083,,RESF Haute-Savoie,https://www.educationsansfrontieres.org/spip.php?rubrique75,10 Rue Guillaume Fichet,Annecy,74000,10 Rue Guillaume Fichet Annecy 74000 ,"Le Réseau Éducation Sans Frontière défend les jeunes sans papiers et leurs familles en mobilisant leur entourage, pour un accueil digne, humain et durable. Partenariats au sein du réseau Traces.",,,,,
,,2018,45.7798396,3.0865628,Auvergne,Ville de Clermont-Ferrand,https://clermont-ferrand.fr/,10 Rue Philippe Marcombes,Clermont-Ferrand,63000,10 Rue Philippe Marcombes Clermont-Ferrand 63000 ,élu coopération internationale,Collectivités Territoriales,,,,Collectivité Territoriale
,,2018,45.77233589999999,4.916877299999999,Rhône,A'vaulxelles,https://vaulx-en-velin.net/annuaire-des-associations/a-vaulx-elles/,100 chemin du Gabugy,Vaulx-en-Velin,69120 ,100 chemin du Gabugy Vaulx-en-Velin 69120  ,"Organise des ateliers d’apprentissage (langue, artisanat), et des actions pour lutter contre les discriminations et contribuer à l’instauration de l’égalité entre les femmes et les hommes. A participé aux biennales Traces.",Accueil / Accompagnement / solidarités,Education /Educ pop,,,Association
,2020,,46.2117355,5.320730699999999,Loire,Écomusée de Saint Etienne du Bois,https://www.ecomuseebresse.fr/,100 route de Bourg,Saint-Etienne-du-Bois,01370,100 route de Bourg Saint-Etienne-du-Bois 01370 ,Lieu d'exposition avec des programmations en lien avec les thématiques des migrations. Participe à la biennale Traces 2020.,,,,,
,,2016,45.1715418,5.4122599,,Cognin-les-Gorges,http://www.cognin-les-gorges.fr/,103 rue du 29 janvier 1944,Cognin-les-Gorges,38470,103 rue du 29 janvier 1944 Cognin-les-Gorges 38470 ,,Collectivités Territoriales,,,,
,2020,,45.6752845,6.388577,Savoie ,Garage et librairie des Bauges,https://www.librairiedesbauges.fr/,104 Rue de la République,Albertville,73200,104 Rue de la République Albertville 73200 ,"La librairie des Bauges ainsi que le lieu culturel qu'elle coordonne, le Garage, accueille régulièrement des événements de Traces avec échanges.",Equipements culturels / lieux / Champ culturel,,,,
